"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"note:EZIC_HANDLER_POST1","BOTH AGENTS WERE DENIED

WE CANNOT SUCCEED WITHOUT YOUR HELP

WHEN ARSTOTZKA WAS BORN, THE ORDER FULFILLED SAME ROLE AS TODAY

WHEN TYRANNY ENDS WE WILL DISAPPEAR AGAIN","NIE PRZEPUŚCILIŚCIE OBYDWU AGENTÓW

NIE ZWYCIĘŻYMY BEZ WASZEJ POMOCY

KIEDY NASZ KRAJ SIĘ RODZIŁ, ZAKON PEŁNIŁ TĘ SAMĄ ROLĘ CO DZIŚ

GDY NASTANIE KRES TYRANII, ZNÓW ZNIKNIEMY"
"note:EZIC_HANDLER_POST1","ONLY ONE AGENT APPROVED

WE CANNOT SUCCEED WITHOUT YOUR HELP

WHEN ARSTOTZKA WAS BORN ,THE ORDER FULFILLED SAME ROLE AS TODAY

WHEN TYRANNY ENDS WE WILL DISAPPEAR AGAIN","PRZEPUŚCILIŚCIE TYLKO JEDNEGO AGENTA

NIE ZWYCIĘŻYMY BEZ WASZEJ POMOCY

KIEDY NASZ KRAJ SIĘ RODZIŁ, ZAKON PEŁNIŁ TĘ SAMĄ ROLĘ CO DZIŚ

GDY NASTANIE KRES TYRANII, ZNÓW ZNIKNIEMY"
"note:EZIC_HANDLER_POST1","YOU HAVE DONE WELL

BOTH AGENTS NOW OPERATING

WHEN ARSTOTZKA WAS BORN, THE ORDER FULFILLED SAME ROLE AS TODAY

WHEN TYRANNY ENDS WE WILL DISAPPEAR AGAIN","SPRAWILIŚCIE SIĘ DOBRZE

OBAJ AGENCI DZIAŁAJĄ

KIEDY NASZ KRAJ SIĘ RODZIŁ, ZAKON PEŁNIŁ TĘ SAMĄ ROLĘ JAK DZIŚ

GDY NASTANIE KRES TYRANII, ZNÓW ZNIKNIEMY"
"note:EZIC_HANDLER_EXT","BORDER ATTACKS ARE NOT EZIC OPERATIONS

UNKNOWN EXTREMIST GROUPS RESPONSIBLE

THE ORDER AIMS TO WEAKEN CORRUPT POWER CENTERS - NOT INJURE INNOCENTS - EZIC AGENT ARRIVES TODAY TO UNCOVER EXTREMISTS","ATAKÓW NA GRANICY NIE PRZEPROWADZIŁ ZAKON

ODPOWIEDZIALNE SĄ NIEZNANE GRUPY EKSTREMISTÓW

ZAKON OSŁABIA SKORUMPOWANĄ WŁADZĘ - NIE KRZYWDZI NIEWINNYCH - NASZ AGENT PRZYBĘDZIE DZIŚ ZDEMASKOWAĆ EKSTREMISTÓW"
"note:EZIC_POISON_MESSENGER","ASSASSIN COMING FROM ANTEGRIA

WILL TARGET IMPORTANT EZIC AGENT IN ARSTOTZKA

MUST BE STOPPED

HIS NAME IS KHALED ISTOM

DO NOT FORGET","ZABÓJCA Z ANTEGRII JEST W DRODZE

JEGO CELEM JEST AGENT ZAKONU W ARSTOCZCE

MUSICIE GO POWSTRZYMAĆ

NAZYWA SIĘ KHALED ISTOM

MIEJCIE TO W PAMIĘCI"
"note:EZIC_HANDLER_SNIPE","KHALED IS RETURNING - HE NOW CARRIES INFORMATION ON ALL EZIC AGENTS

CANNOT TAKE CHANCES - YOU MUST KILL HIM TODAY - MAN IN RED - WE WILL PROVIDE OPPORTUNITY

IF SUCCEED, YOU WILL BE CAUGHT - MUST SACRIFICE SELF FOR ARSTOTZKA - FAMILY WILL BE SAFE","KHALED POWRACA - PRZENOSI INFORMACJE O CAŁEJ NASZEJ SIATCE

NIE MOŻNA RYZYKOWAĆ - MUSICIE GO DZIŚ ZABIĆ - MĘŻCZYZNĘ W CZERWIENI - ZAPEWNIMY SPOSOBNOŚĆ

PO WYKONANIU ZADANIA ZOSTANIECIE POJMANI - MUSICIE POŚWIĘCIĆ SIĘ DLA KRAJU - RODZINA BĘDZIE BEZPIECZNA"
"note:EZIC_HANDLER_SNIPE","KHALED KILLED TWO EZIC AGENTS - ANOTHER ASSASSIN COMES - MAN IN RED - CARRIES INFO ON ALL EZIC IN ARSTOTZKA

CANNOT TAKE CHANCES - YOU MUST KILL HIM TODAY - WE WILL PROVIDE OPPORTUNITY

IF SUCCEED, YOU WILL BE CAUGHT - MUST SACRIFICE SELF FOR ARSTOTZKA - FAMILY WILL BE SAFE","KHALED ZABIŁ DWÓCH NASZYCH LUDZI - KOLEJNY ZABÓJCA W DRODZE - MĘŻCZYZNA W CZERWIENI - PRZENOSI INFORMACJE O CAŁEJ NASZEJ SIATCE

NIE MOŻNA RYZYKOWAĆ - MUSICIE GO DZIŚ ZABIĆ - ZAPEWNIMY SPOSOBNOŚĆ

PO WYKONANIU ZADANIA ZOSTANIECIE POJMANI - MUSICIE POŚWIĘCIĆ SIĘ DLA KRAJU - RODZINA BĘDZIE BEZPIECZNA"
"note:EZIC_HANDLER_SNIPE","KHALED DEALT WITH - ANOTHER ASSASSIN COMES - MAN IN RED - CARRIES INFO ON ALL EZIC IN ARSTOTZKA

CANNOT TAKE CHANCES - YOU MUST KILL HIM TODAY - WE WILL PROVIDE OPPORTUNITY

IF SUCCEED, YOU WILL BE CAUGHT - MUST SACRIFICE SELF FOR ARSTOTZKA - FAMILY WILL BE SAFE","PROBLEM KHALEDA ROZWIĄZANY - KOLEJNY ZABÓJCA W DRODZE - MĘŻCZYZNA W CZERWIENI - PRZENOSI INFORMACJE O CAŁEJ NASZEJ SIATCE

NIE MOŻNA RYZYKOWAĆ - MUSICIE GO DZIŚ ZABIĆ - ZAPEWNIMY SPOSOBNOŚĆ

PO WYKONANIU ZADANIA ZOSTANIECIE POJMANI - MUSICIE POŚWIĘCIĆ SIĘ DLA KRAJU - RODZINA BĘDZIE BEZPIECZNA"
"note:EZIC_HANDLER_POSTSNIPE","WE HAVE MISSED OUR CHANCE

MAN IN RED SURVIVES

HE NOW TARGETS EZIC AGENTS IN KOLECHIA

OUR PLANS MUST ADAPT","PRZEGAPILIŚMY NASZĄ SZANSĘ

MĘŻCZYZNA W CZERWIENI PRZEŻYŁ

TERAZ OBRAŁ ZA CEL NASZEGO AGENTA W KOLECHII

NASZ PLAN MUSI SIĘ ZMIENIĆ"
"note:EZIC_HANDLER_DIPLO","GOVERNMENT PLANS TO YIELD TO KOLECHIAN DEMANDS AND FURTHER CEDE GRESTIN

NEGOTIATIONS MUST BE IMPEDED

ALLOW KOLECHIAN DIPLOMAT ENTRY BUT CONFISCATE PASSPORT FIRST

EZIC AGENT WILL FOLLOW TO ASSUME IDENTITY","ROZMOWY DYPLOMATYCZNE MAJĄ ZDECYDOWAĆ O LOSIE GRESTIN. RZĄD MOŻE ULEC KOLECHII

NEGOCJACJE TRZEBA UDAREMNIĆ

WPUŚĆCIE KOLECHIAŃSKIEGO DYPLOMATĘ, LECZ ZABIERZCIE MU PASZPORT

AGENT EZIC PRZEJMIE JEGO TOŻSAMOŚĆ"
"note:EZIC_FINAL","GRESTIN CHECKPOINT IS AT AN END

TODAY WE BREAK THIS WALL DOWN

YOU WILL BE SAFE

HOLD YOUR FIRE

* THE ORDER OF THE EZIC STAR","POSTERUNEK W GRESTIN NIE PRZETRWA DŁUGO

DZIŚ BURZYMY MUR

BĘDZIECIE BEZPIECZNI

NIE STRZELAĆ

* ZAKON GWIAZDY EZICA"
"traveler:DEFAULT","Where is my passport? ; My passport? ; Passport? ; What is this slip? Where is passport?","Gdzie jest mój paszport? ; Co z moim paszportem? ; Co to za świstek? Gdzie paszport?"
"traveler:DEFAULT","@It is being confiscated.","@Został skonfiskowany."
"traveler:DEFAULT","How will I travel? ; What should I do? ; Why? ; You cannot do this.","Jak mam jechać dalej? ; Co mam zrobić? ; Dlaczego? ; Nie wolno wam tego robić."
"traveler:DEFAULT","@Contact number on slip.","@Zadzwońcie pod numer podany na kwicie."
"traveler:EZIC_INTRO","The Order awaits.","Zakon oczekuje."
"traveler:EZIC_CORMAN","Very good.","Bardzo dobrze."
"traveler:EZIC_CORMAN","Read quickly.","Czytajcie szybko."
"traveler:EZIC_CORMAN","Do not lose this.","Nie zgubcie tego."
"traveler:EZIC_CORMAN","You have something of mine.","Macie coś, co należy do mnie."
"traveler:EZIC_CORMAN","My name is Corman Drex.","Nazywam się Corman Drex."
"traveler:EZIC_CORMAN","Read the note then return it to me.","Przeczytajcie notatkę i oddajcie mi ją."
"traveler:EZIC_HANDLER_PRE0","Our agents are ready.","Nasi agenci są gotowi."
"traveler:EZIC_HANDLER_PRE0","Starting tomorrow.","Zaczynamy jutro."
"traveler:EZIC_HANDLER_PRE0","Let them pass.","Pozwól im przejść."
"traveler:EZIC_AGENT0","The Order rises.","Zakon się budzi."
"traveler:EZIC_AGENT0","The Order knows.","Zakon wie."
"traveler:EZIC_AGENT1","For Arstotzka and the Order.","Za Arstoczkę i Zakon."
"traveler:EZIC_HANDLER_POST1","Give me the coded documents.","Dajcie mi zaszyfrowane dokumenty."
"traveler:EZIC_HANDLER_POST1","Both.","Oba."
"traveler:EZIC_HANDLER_EXT","Today.","Dziś."
"traveler:EZIC_AGENT_EXT","For Arstotzka and the Order.","Za Arstoczkę i Zakon."
"traveler:EZIC_AGENT_EXT","The others do not agree, but I believe the man in red is not a threat.","Pozostali się nie zgadzają, lecz ja sądzę, że mężczyzna w czerwieni nie jest zagrożeniem."
"traveler:EZIC_AGENT_EXT","@What?","@Co?"
"traveler:EZIC_AGENT_EXT","Nevermind.","Nieważne."
"traveler:EZIC_HANDLER_SNIPE","Shoot to kill.","Strzelaj, by zabić."
"traveler:EZIC_DIPLO","I require my passport.","Potrzebuję mojego paszportu."
"traveler:EZIC_DIPLO","@It has been confiscated.","@Został skonfiskowany."
"traveler:EZIC_DIPLO","I am Kolechian diplomat here on government request.","Jestem kolechiańskim dyplomatą i zjawiłem się tu z polecenia rządu."
"traveler:EZIC_DIPLO","Return passport at once.","Natychmiast oddajcie mój paszport."
"traveler:EZIC_DIPLO","@Call number on slip to recover.","@Zadzwońcie pod numer podany na kwicie."
"traveler:EZIC_DIPLO","Barbarian.","Barbarzyńca."
"traveler:EZIC_DIPLO","You cannot do this.","Nie możecie tego zrobić."
"traveler:EZIC_DIPLO_FOLLOW","I saw him enter.","Widziałem, jak wchodził."
"traveler:EZIC_DIPLO_FOLLOW","Give his passport to me.","Dajcie mi jego paszport."
"traveler:EZIC_DIPLO_FOLLOW","Ah good.","Doskonale."
"traveler:EZIC_DIPLO_FOLLOW","I look much the same as him.","Jestem do niego bardzo podobny."
"traveler:EZIC_DIPLO_FOLLOW","Just need to shave my mustache.","Muszę tylko zgolić wąsy."
"traveler:EZIC_DIPLO_FOLLOW","But we all must make sacrifices.","Wszyscy musimy poświęcać się dla dobra sprawy."
"traveler:EZIC_DIPLO_FOLLOW","Appove the visa.","Podbijcie wizę."
"traveler:EZIC_DIPLO_FOLLOW","For Arstotzka and the Order.","Za Arstoczkę i Zakon."
"traveler:EZIC_DIPLO_FOLLOW","This is not what was agreed on.","Nie tak się umawialiśmy."
"traveler:EZIC_DIPLO_FOLLOW","I am sent to collect diplomat's passport.","Zostałem przysłany po odbiór paszportu dyplomaty."
"traveler:EZIC_DIPLO_FOLLOW","@I do not have it.","@Nie mam go."
"traveler:SECRET_POLICE_INTRO","Good morning, inspector.","Witajcie, inspektorze."
"traveler:SECRET_POLICE_INTRO","You are healthy today yes?","Jak zdrowie? Dopisuje?"
"traveler:SECRET_POLICE_INTRO","I have just few questions for you.","Mam do was kilka pytań."
"traveler:SECRET_POLICE_INTRO","There was problem at Metro last night.","Ostatniej nocy w metrze doszło do pewnego zdarzenia."
"traveler:SECRET_POLICE_INTRO","Maybe you read about it in paper.","Może czytaliście o tym w gazecie."
"traveler:SECRET_POLICE_INTRO","Is very big news.","Było o tym głośno."
"traveler:SECRET_POLICE_INTRO","We think it is not accident.","Sądzimy, że to nie był wypadek."
"traveler:SECRET_POLICE_INTRO","We think it is caused by suspicious group.","Myślimy, że stoi za tym tajemnicza grupa."
"traveler:SECRET_POLICE_INTRO","We think some members pass through this checkpoint.","Uważamy też, że niektórzy jej członkowie przekraczają tu granicę."
"traveler:SECRET_POLICE_INTRO","So we come talk to you.","Dlatego rozmawiamy."
"traveler:SECRET_POLICE_INTRO","Have you seen anything like this?","Widzieliście może coś takiego?"
"traveler:SECRET_POLICE_INTRO","Is some kind of symbol for group.","To symbol tej grupy."
"traveler:SECRET_POLICE_INTRO","If you have any information, you give to us yes?","Jeśli czegoś się dowiecie, to dacie nam znać, prawda?"
"traveler:SECRET_POLICE_INTRO","Yes?","Tak?"
"traveler:SECRET_POLICE_INTRO","@Yes.","@Tak."
"traveler:SECRET_POLICE_INTRO","Very good.","Bardzo dobrze."
"traveler:SECRET_POLICE_INTRO","Please return my badge and paper.","Proszę mi oddać moją odznakę i dokument."
"traveler:SECRET_POLICE_INTRO","We think suspicious group attempts to stir trouble.","Sądzimy, że podejrzana grupa próbuje wszcząć zamieszki."
"traveler:SECRET_POLICE_INTRO","We think some members enter this checkpoint.","Uważamy, że niektórzy jej członkowie przewijają się przez ten punkt kontrolny."
"traveler:SECRET_POLICE_INTRO","What is this?","Co to jest?"
"traveler:SECRET_POLICE_INTRO","Interesting.","Interesujące."
"traveler:SECRET_POLICE_INTRO","Yes, very interesting.","Tak, bardzo interesujące."
"traveler:SECRET_POLICE_INTRO","I think it is best if you come with me.","Myślę, że najlepiej będzie, jeśli pójdziecie ze mną."
"traveler:SECRET_POLICE_INTRO","This group is very dangerous.","Ta grupa jest bardzo niebezpieczna."
"traveler:SECRET_POLICE_INTRO","If you see any curious thing, report immediately.","Jeśli zauważycie coś niepokojącego, zgłoście to natychmiast."
"traveler:SECRET_POLICE_CAUGHT","Hello inspector.","Witajcie, inspektorze."
"traveler:SECRET_POLICE_CAUGHT","There is small discrepancy with your finances.","W waszych finansach dostrzegliśmy pewną niezgodność."
"traveler:SECRET_POLICE_CAUGHT","The Ministry of Income was thoughtful enough to notify us.","Ministerstwo Dochodu wykazało się czujnością, informując nas o tym."
"traveler:SECRET_POLICE_CAUGHT","It is best if you come with me.","Najlepiej będzie, jeśli pójdziecie ze mną."
"traveler:SECRET_POLICE_FINAL","Inspector.","Inspektorze."
"traveler:SECRET_POLICE_FINAL","It has been some time.","Minęło sporo czasu."
"traveler:SECRET_POLICE_FINAL","Read your bulletin carefully today.","Przeczytajcie dziś uważnie wasz biuletyn."
"traveler:SECRET_POLICE_FINAL","We will be speaking with many workers.","Będziemy rozmawiać z wieloma pracownikami."
"traveler:SECRET_POLICE_FINAL","Your audit comes soon.","Wasza kontrola się zbliża."
"traveler:SECRET_POLICE_FINAL","I will personally conduct it.","Przeprowadzę ją osobiście."
"traveler:SECRET_POLICE_FINAL","There is nothing to fear.","Nie ma się czego obawiać."
"traveler:SECRET_POLICE_FINAL","Work hard.","Pracujcie ciężko."
"traveler:JORJI_BASE","All right! You the best!","Świetnie! Ty najlepszy!"
"traveler:JORJI_BASE","Arstotzka the best!","Arstoczka najlepsza!"
"traveler:JORJI_BASE","Here, take this!","Masz, weź to!"
"traveler:JORJI0","Ok! Here we go!","W porządku! No to lu!"
"traveler:JORJI0","Glory to Arstotzka!","Niech żyje Arstoczka!"
"traveler:JORJI0","The greatest country!","Najwspanialniejszy kraj!"
"traveler:JORJI0","@Where is your passport?","@Gdzie macie paszport?"
"traveler:JORJI0","Passport!","Paszport!"
"traveler:JORJI0","Arstotzka so great, passport not required.","Arstoczka taka wspaniała, paszportu nie trzeba."
"traveler:JORJI0","Right?","Prawda?"
"traveler:JORJI0","@A passport is required.","@Musicie mieć paszport."
"traveler:JORJI0","Ok, ok. I hear you.","Dobra, dobra, rozumiem."
"traveler:JORJI0","I come back again.","Jeszcze wrócę."
"traveler:JORJI1","Ok! Hello again!","Cześć i czołem!"
"traveler:JORJI1","Now I have passport!","Teraz mam paszport!"
"traveler:JORJI1","Arstotzka still best country for sure!","Arstoczka dalej najlepsiejsza na świecie!"
"traveler:JORJI1","@This passport is crude fake.","@Toż to siermiężna podróbka, a nie paszport."
"traveler:JORJI1","Hey now! Is not true!","Jak to? Guzik prawda!"
"traveler:JORJI1","Is pre-approved!","Wiza wstępnie zatwierdzona!"
"traveler:JORJI1","@ Cobrastan is not a real country.","@Nie ma takiego kraju jak Kobrastan."
"traveler:JORJI1","Ok, ok.","Dobra, dobra."
"traveler:JORJI1","You no like passport, I understand.","Tobie się paszport nie podoba. Ja rozumiem."
"traveler:JORJI1","I come back again with better one.","Ja wrócę z lepszym."
"traveler:JORJI2","Old friend hello!","Serwus, druhu!"
"traveler:JORJI2","I am back again!","Wróciłem!"
"traveler:JORJI2","This time everything set.","Teraz wszystko tip-top."
"traveler:JORJI2","@You are missing an entry permit.","@Brakuje wam zgody na wjazd."
"traveler:JORJI2","Oh man you funny guy!","Żartowniś z ciebie!"
"traveler:JORJI2","@An entry permit is required.","@Wymagana jest zgoda na wjazd."
"traveler:JORJI2","Wow, you run very strict border here.","Ale macie tu surowe zasady na granicy!"
"traveler:JORJI2","That is good. Do job right.","To świetnie. Pracujesz dobrze."
"traveler:JORJI2","I look for entry thing and come back.","Ja poszukam tego... pozezwolenia i wrócę."
"traveler:JORJI3","Hey it is me!","Cześć, to ja!"
"traveler:JORJI3","Are you happy to see?","Ty ucieszony?"
"traveler:JORJI3","I have everything you ask for now.","Mam już wszystko, co ty chcesz."
"traveler:JORJI3","@Tickets are no longer accepted.","@Nie używamy już tych kwitów."
"traveler:JORJI3","Hey no!","No nie!"
"traveler:JORJI3","Guy sold me ticket. Say is good!","Jeden gość mi to sprzedał. Jest w porządku - tak mówił!"
"traveler:JORJI3","You check again maybe.","Może ty sprawdzisz jeszcze raz?"
"traveler:JORJI3","@Do not come back again.","@Nie przychodźcie tu więcej."
"traveler:JORJI3","Haha!","Ha ha!"
"traveler:JORJI3","You nice guy but I have business in Arstotzka.","Ja ciebie lubię, ale mam interes w Arstoczce."
"traveler:JORJI3","I get right papers and come see you.","Zdobędę dobre papiery i przyjdę znów."
"traveler:JORJI4","Hello my guy!","Witaj, mój przyjacielu!"
"traveler:JORJI4","Ok. Today is day!","Dobrze, dziś jest mój dzień!"
"traveler:JORJI4","Look at all good papers.","Spójrz na te świetne papiery!"
"traveler:JORJI4","Was not easy.","Nie było łatwo!"
"traveler:JORJI4","Or cheap! Haha!","Ani tanio, ha ha!"
"traveler:JORJI4","@I told you not to come back.","@Mówiłem, żebyście nie przychodzili."
"traveler:JORJI4","This is crap.","Bzdury!"
"traveler:JORJI4","You know what? Forget it.","Wiesz co? Daruj sobie."
"traveler:JORJI4","Arstotzka worst country.","Arstoczka najgorszy kraj."
"traveler:JORJI4","You worst person.","Ty najgorszy człowiek."
"traveler:JORJI4","Thank you so much!","Dziękuję wam!"
"traveler:JORJI4","If I am honest to you, I was little nervous.","Jak mam być szczery, to byłem trochę w nerwach."
"traveler:JORJI4","Even with right papers is hard to say.","Nawet jak masz dobry papier, to nie wiadomo, co będzie."
"traveler:JORJI4","Ok bye!","Trzymaj się!"
"traveler:JORJI_SMUGGLE0","Again I am here!","Oto jestem znów!"
"traveler:JORJI_SMUGGLE0","Everything all set up now.","Teraz wszystko w porządku."
"traveler:JORJI_SMUGGLE0","I come through often to see you.","Często przychodzę, żeby cię zobaczyć."
"traveler:JORJI_SMUGGLE0","We become good friends!","My już starzy przyjaciele!"
"traveler:JORJI_SMUGGLE0","@Your weight is different.","@Wasza waga się nie zgadza."
"traveler:JORJI_SMUGGLE0","Is sad story.","To smutna historia."
"traveler:JORJI_SMUGGLE0","My wife very bad cook.","Moja żona strasznie gotuje."
"traveler:JORJI_SMUGGLE0","But if I do not eat, she get angry.","Ale jak ja nie jem, to ona bardzo zła."
"traveler:JORJI_SMUGGLE0","Uh oh, maybe you not like this!","Oj, to ci się może nie podobać!"
"traveler:JORJI_SMUGGLE0","@What is this?","@Co to jest?"
"traveler:JORJI_SMUGGLE0","Is drugs!","Narkotyki!"
"traveler:JORJI_SMUGGLE0","I have little side business here.","Dorabiam na boku."
"traveler:JORJI_SMUGGLE0","You let me through and I give you something something.","Jak mnie puścisz, to coś dostaniesz."
"traveler:JORJI_SMUGGLE0","@Something what?","@Co dostanę?"
"traveler:JORJI_SMUGGLE0","Ten credits.","Dziesięć kredytów."
"traveler:JORJI_SMUGGLE0","I give you ten credits for just little stamp.","Dziesięć kredytów za malutką pieczątkę."
"traveler:JORJI_SMUGGLE0","@Wait here Jorji.","@Poczekajcie tu, Jorji."
"traveler:JORJI_SMUGGLE0","Is ok, I understand.","Dobrze, ja rozumiem."
"traveler:JORJI_SMUGGLE0","Drugs are bad. Not good for kids.","Narkotyki złe. Niedobre dla dzieci."
"traveler:JORJI_SMUGGLE0","You do great work here still.","Ty robisz tu dobrą robotę."
"traveler:JORJI_SMUGGLE0","Ok!","Dobrze!"
"traveler:JORJI_SMUGGLE0","We go full speed!","Cała naprzód!"
"traveler:JORJI_SMUGGLE0","Hey what is problem?","Coś nie w porządku?"
"traveler:JORJI_SMUGGLE0","@I do not trust you.","@Nie ufam wam."
"traveler:JORJI_SMUGGLE0","Ok, ok.","Dobra, dobra."
"traveler:JORJI_SMUGGLE0","You good guy so I win trust next time.","Ty dobry człowiek, ja się postaram o zaufanie."
"traveler:JORJI_SMUGGLE1","Ok, I am back!","W porządku, wróciłem!"
"traveler:JORJI_SMUGGLE1","Same procedure!","Ta sama procedura!"
"traveler:JORJI_SMUGGLE1","They told me this hard business.","Ostrzegali, że biznes trudny."
"traveler:JORJI_SMUGGLE1","So far everything smooth like ice!","Ale do tej pory jak po maśle!"
"traveler:JORJI_SMUGGLE1","Thanks to you!","Dzięki tobie!"
"traveler:JORJI_SMUGGLE1","Buy something happy for wife.","Kup coś dla żony!"
"traveler:JORJI_SMUGGLE1","Phew!","Uff!"
"traveler:JORJI_SMUGGLE1","Was tough one. Lucky for me, guard was easy.","Było ciężko. Dobrze, że strażnik ludzki."
"traveler:JORJI_SMUGGLE1","He asks for big money but is reasonable man.","Chciał dużych pieniędzy, ale rozsądny człowiek."
"traveler:JORJI_SMUGGLE1","Oh man, again!","No nie, znowu!"
"traveler:JORJI_SMUGGLE1","That guard have another good day.","Ten strażnik znów ma dobry dzień."
"traveler:JORJI_SMUGGLE1","Not sure I keep this up with no sales!","Nie wiem, jak mam to ciągnąć bez żadnych zysków."
"traveler:JORJI_SMUGGLE1","Ok, we try again!","Dobrze, spróbujmy znowu!"
"traveler:JORJI_SMUGGLE1","Sorry to bother you, but this my only job.","Wybacz, ale to moja jedyna praca."
"traveler:JORJI_SMUGGLE1","@Wait here, Jorji.","@Poczekajcie tu, Jorji."
"traveler:JORJI_SMUGGLE1","Is ok, I understand.","Dobrze, ja rozumiem."
"traveler:JORJI_SMUGGLE1","Drugs are bad. Not good for kids.","Narkotyki złe. Niedobre dla dzieci."
"traveler:JORJI_SMUGGLE1","You do great work here still.","Ty robisz tu dobrą robotę."
"traveler:JORJI_SMUGGLE1","@I see a difference here.","@Tu jest niezgodność."
"traveler:JORJI_SMUGGLE1","Is real mystery for sure.","Cóż za zagadka!"
"traveler:JORJI_SMUGGLE1","Maybe things get too sexy in here.","To trochę krępujące."
"traveler:JORJI_SMUGGLE1","@Drugs?","@Narkotyki?"
"traveler:JORJI_SMUGGLE1","Looks like good stuff right?","Niezły towar, co?"
"traveler:JORJI_SMUGGLE1","Wait! I give you 10 credits for ok stamp!","Czekaj! Dam ci 10 kredytów za zieloną pieczątkę!"
"traveler:JORJI_SMUGGLE1","Think about family!","Pomyśl o rodzinie!"
"traveler:JORJI_SMUGGLE1","They can buy many happy things with these credits.","Mogą za to kupić dużo rzeczy i być szczęśliwi!"
"traveler:JORJI_SMUGGLE1","Just for little harmless drugs!","Wszystko dzięki tym niewinnym narkotykom."
"traveler:JORJI_SMUGGLE1","This much better, see?","Teraz lepiej, widzisz?"
"traveler:JORJI_SMUGGLE1","Wow, you really stand-up guy.","Dobry z ciebie chłop."
"traveler:JORJI_SMUGGLE1","Maybe is not so good for me when I think about.","Tak sobie myślę, że to chyba niedobrze dla mnie."
"traveler:JORJI_CRIMINAL","Is good to see you again!","Dobrze cię znowu widzieć!"
"traveler:JORJI_CRIMINAL","Today I come just for short visit.","Dzisiaj wpadłem tylko na chwilę."
"traveler:JORJI_CRIMINAL","Everything is definitely ok with me.","U mnie wszystko świetnie."
"traveler:JORJI_CRIMINAL","For sure I am not in criminal bulletin or anything!","Na pewno nie jestem ścigany, ani nic!"
"traveler:JORJI_CRIMINAL","@Your face is in wanted bulletin.","@Wasze zdjęcie jest w biuletynie z poszukiwanymi."
"traveler:JORJI_CRIMINAL","What! I pay police like crazy!","Co?! Bulę policji jak wariat!"
"traveler:JORJI_CRIMINAL","They promise no bulletin. All clear they say.","Obiecali - żadnej wzmianki w biuletynie. Wszystko w porządku - powiedzieli."
"traveler:JORJI_CRIMINAL","I think twice about trusting friendly people.","Dwa razy się zastanowię, zanim zaufam takim przyjemniaczkom."
"traveler:JORJI_CRIMINAL","Hey I really like you.","Słuchaj, naprawdę cię lubię."
"traveler:JORJI_CRIMINAL","I know is risky to help me like this.","Wiem, że ryzykownie jest mi pomagać."
"traveler:JORJI_CRIMINAL","I try to make it up for you.","Chcę ci to wynagrodzić."
"traveler:JORJI_CRIMINAL","Ah, is ok.","Ach, w porządku."
"traveler:JORJI_CRIMINAL","At least you do not arrest me.","Przynajmniej mnie nie aresztujesz."
"traveler:JORJI_CRIMINAL","Thanks anyways.","Tak czy inaczej, dzięki."
"traveler:JORJI_CRIMINAL","@Sorry Jorji.","@Wybaczcie, Jorji."
"traveler:JORJI_CRIMINAL","Ah, is ok. Most police know me now.","Ach, w porządku. Policjanci już mnie znają."
"traveler:JORJI_CRIMINAL","I have little talk with them again.","Muszę znowu z nimi pogadać."
"traveler:JORJI_CRIMINAL","Anyway, you have tough job.","Swoją drogą, masz ciężką pracę."
"traveler:JORJI_CRIMINAL","I rather sell drugs!","Wolałbym sprzedawać narkotyki."
"traveler:JORJI_PASSPORTS","I read newspaper.","Czytałem gazetę."
"traveler:JORJI_PASSPORTS","@Hello Jorji.","@Witajcie, Jorji."
"traveler:JORJI_PASSPORTS","Things getting little crazy in Arstotzka.","W Arstoczce sprawy się trochę komplikują."
"traveler:JORJI_PASSPORTS","Maybe you think about going away for a bit.","Może pomyślisz o wyjeździe na chwilę?"
"traveler:JORJI_PASSPORTS","Obristan is good place.","Obristan to dobre miejsce."
"traveler:JORJI_PASSPORTS","Right next door up north.","To tylko kawałek na północ stąd."
"traveler:JORJI_PASSPORTS","@Our passports have been confiscated.","@Nasze paszporty zostały skonfiskowane."
"traveler:JORJI_PASSPORTS","@We cannot leave.","@Nie możemy wyjechać."
"traveler:JORJI_PASSPORTS","Hey that not good sign.","Oj, to zły znak."
"traveler:JORJI_PASSPORTS","Hold on.","Poczekaj."
"traveler:JORJI_PASSPORTS","I know a guy.","Znam jednego typa."
"traveler:JORJI_PASSPORTS","Just give him real passports to work with.","Daj mu tylko prawdziwe paszporty do przerobienia."
"traveler:JORJI_PASSPORTS","He changes info to match for you.","Zmieni dane na twoje."
"traveler:JORJI_PASSPORTS","I learn that in hard way.","Przetestowałem to na własnej skórze."
"traveler:JORJI_PASSPORTS","Thanks again!","Dzięki raz jeszcze!"
"traveler:JORJI_PASSPORTS","Bah! Maybe you right.","Ha! Może masz rację."
"traveler:JORJI_PASSPORTS","Better to take little break.","Lepiej zrobię sobie przerwę."
"traveler:JORJI_PASSPORTS","Hey what the hell?","Co to ma być?"
"traveler:JORJI_PASSPORTS","You take my passport!","Zabrałeś mój paszport!"
"traveler:JORJI_PASSPORTS","You can see it was expensive!","Chyba widzisz, że trochę kosztował?!"
"traveler:JORJI_PASSPORTS","@You said I need real Obristan passports.","@Powiedzieliście, że potrzebuję prawdziwych paszportów Obristanu."
